ip,bw,roa,rov
178.218.144.18,18000,1,0
162.247.74.201,52000,0,1
198.98.61.11,47000,1,0
95.111.230.178,9400,1,1
195.15.242.99,11000,1,0
185.220.101.33,38000,1,1
51.15.75.120,23000,0,1
109.241.214.64,4700,1,0
104.244.79.75,30000,1,0
174.128.250.165,9100,0,0
158.174.145.139,16000,0,0
2.59.235.35,10000,1,0
45.134.225.36,24000,1,0
89.236.112.100,17000,1,0
107.155.81.178,41000,1,0
5.9.56.249,90000,1,0
199.249.230.144,12000,1,1
116.203.50.182,11000,1,0
51.222.31.141,32000,1,0
199.249.230.174,17000,1,1
131.153.152.170,25000,1,0
81.169.180.28,15000,1,1
51.158.146.93,15000,0,1
185.195.71.244,32000,1,1
134.209.159.74,1000,1,0
45.129.182.225,37000,1,1
78.142.18.219,25000,0,0
51.89.153.112,92000,1,0
45.14.233.149,36000,1,0
142.44.243.133,12000,1,0
144.217.90.215,17000,1,0
45.136.244.187,16000,0,0
149.56.233.142,50000,1,0
89.58.34.53,17000,1,1
109.207.77.201,4200,1,0
95.216.20.80,64000,1,0
185.146.232.243,8000,1,0
45.141.153.214,58000,0,1
45.158.77.29,28000,1,0
79.45.233.44,12000,0,0
109.248.251.94,23000,1,0
185.220.102.244,36000,1,1
185.44.81.21,22000,1,0
5.2.79.190,1900,1,1
89.58.60.208,16000,1,1
45.92.33.62,42000,0,1
5.9.122.206,6000,1,0
178.170.10.39,6700,1,0
209.141.37.94,2300,1,0
98.116.189.219,5100,1,0
77.91.86.95,29000,0,0
172.107.202.142,64000,0,0
193.189.100.202,40000,1,0
209.58.180.236,3100,0,0
5.154.174.241,15000,1,1
37.120.171.188,17000,1,1
185.220.101.78,24000,1,1
185.243.218.89,30000,1,0
82.221.131.71,7100,1,0
45.138.228.251,23000,1,0
2.58.56.114,46000,1,0
185.220.103.114,32000,1,1
89.58.38.151,14000,1,1
46.148.26.44,7900,1,0
163.172.76.56,19000,0,1
85.215.91.150,12000,1,1
185.163.45.212,6500,1,0
185.104.194.129,4800,1,1
164.132.207.62,28000,1,0
136.243.3.194,73000,0,0
93.234.0.148,2400,1,0
109.207.77.145,3700,1,0
158.69.204.36,6500,1,0
207.244.78.230,140000,0,0
199.249.230.79,3900,1,1
66.175.235.244,21000,1,1
77.109.152.11,80000,1,0
95.216.22.87,45000,1,0
198.251.88.142,20000,1,0
185.229.90.81,24000,1,0
95.217.62.4,22000,1,0
185.220.101.51,41000,1,1
192.42.116.17,20000,0,1
81.169.237.83,36000,1,1
85.214.49.28,43000,1,1
193.218.118.180,7100,1,0
51.158.187.110,25000,0,1
91.132.145.129,13000,1,1
207.244.238.230,6800,0,0
85.239.34.24,11000,1,0
46.22.212.230,18000,1,0
213.175.95.220,12000,1,0
178.254.44.163,36000,0,0
80.13.139.249,17000,1,1
150.230.20.28,29000,0,1
205.185.113.66,6300,1,0
178.20.55.16,36000,1,1
185.196.21.125,4500,1,1
121.50.43.135,1400,0,1
144.76.86.5,51000,0,0
85.93.218.204,11000,0,0
135.125.250.251,9500,1,0
163.172.184.32,30000,0,1
85.146.92.119,13000,1,0
77.68.94.106,32000,1,1
94.23.247.42,33000,1,0
23.82.136.14,17000,0,1
93.90.194.106,30000,1,1
81.16.19.39,3200,1,1
5.183.170.183,7600,1,0
93.99.255.254,30000,1,0
185.129.62.63,54000,1,0
185.177.151.42,4600,0,0
45.145.164.70,26000,1,0
45.138.16.94,26000,1,0
78.138.98.42,49000,1,0
80.66.135.123,25000,0,1
185.56.171.94,16000,0,0
185.195.24.92,8000,1,0
212.227.165.251,16000,1,1
68.171.179.124,5600,1,1
207.246.71.148,2700,1,1
195.123.212.113,2300,1,0
195.176.3.20,28000,1,0
45.140.143.104,51000,1,0
2.56.98.134,11000,1,1
51.15.182.104,17000,0,1
89.58.5.0,30000,1,1
54.39.234.91,6700,1,0
151.115.79.119,34000,0,1
185.207.107.98,31000,1,1
5.9.14.30,31000,1,0
31.14.252.98,25000,0,1
93.95.231.110,14000,0,0
199.195.250.165,33000,0,0
139.162.123.5,1900,0,1
109.228.53.235,20000,1,1
74.208.182.78,11000,1,1
89.58.33.214,13000,1,1
91.229.239.83,8700,0,0
107.189.8.133,28000,1,0
104.237.152.224,3800,1,1
208.1.62.240,3200,0,1
185.82.127.135,20000,0,0
185.163.45.253,5200,1,0
46.226.105.119,3700,1,1
98.115.87.163,8700,1,0
51.89.106.29,72000,1,0
185.198.26.149,3700,0,0
83.0.60.229,4800,1,0
104.168.32.140,12000,1,0
63.227.116.162,8000,0,1
185.220.102.242,42000,1,1
144.172.118.45,2600,0,0
130.61.125.241,4300,0,1
45.61.184.227,12000,1,0
78.111.104.187,7700,1,1
193.142.146.239,34000,1,0
23.137.249.209,28000,1,0
5.252.178.224,5900,1,0
164.132.226.30,6200,1,0
5.9.14.25,42000,1,0
135.125.235.11,28000,1,0
103.214.6.12,8900,0,0
107.189.4.23,17000,1,0
107.189.12.251,28000,1,0
95.216.27.105,4700,1,0
65.108.253.128,14000,1,0
188.138.75.101,28000,1,0
116.202.169.25,43000,1,0
141.145.206.8,4400,0,1
2.58.56.88,28000,1,0
162.247.74.216,45000,0,1
152.86.13.25,3500,0,0
193.108.117.125,35000,1,1
138.59.18.106,2200,1,0
87.118.116.90,5700,1,0
178.254.44.176,26000,0,0
174.162.181.9,1500,1,0
192.119.108.114,35000,0,0
5.200.21.144,13000,1,0
185.220.103.112,31000,1,1
95.216.13.120,77000,1,0
65.108.3.114,39000,1,0
81.7.18.7,13000,1,0
38.154.239.250,81000,0,0
91.47.46.64,1900,1,0
89.212.41.199,3700,1,0
5.75.249.160,8100,1,0
185.239.222.241,18000,0,0
51.38.110.234,25000,1,0
198.251.84.99,16000,1,0
37.120.165.175,1600,1,1
107.189.8.56,20000,1,0
213.163.70.234,23000,1,0
217.160.101.137,20000,1,1
185.225.17.105,4900,1,0
78.31.64.240,6500,1,1
65.39.97.13,6800,0,0
51.68.152.77,25000,1,0
51.254.96.208,14000,1,0
195.176.3.20,17000,1,0
74.208.142.142,7900,1,1
45.92.33.62,20000,0,1
2.58.56.106,12000,1,0
51.158.230.172,25000,0,1
171.25.193.20,17000,0,0
69.46.10.138,7500,1,0
185.163.46.83,6800,1,0
141.255.161.167,4300,0,1
85.204.116.239,6900,1,0
185.112.147.10,12000,0,0
107.189.12.88,4000,1,0
103.251.167.20,33000,1,1
162.55.58.248,5600,1,0
5.189.134.99,10000,1,1
107.189.4.23,18000,1,0
104.152.209.217,9200,0,0
83.99.154.203,8900,1,1
