date,case,matched_after
2024-01-02-00,RoVISTA,0.46671483745808057
2024-01-03-00,RoVISTA,0.4650845793130539
2024-01-04-00,RoVISTA,0.46317465577811356
2024-01-05-00,RoVISTA,0.4632592384223039
2024-01-06-00,RoVISTA,0.4607648427582213
2024-01-07-00,RoVISTA,0.45148598374446103
2024-01-08-00,RoVISTA,0.45077869087983446
2024-01-09-00,RoVISTA,0.442350966681583
2024-01-10-00,RoVISTA,0.43842011492261596
2024-01-11-00,RoVISTA,0.437123801561215
2024-01-12-00,RoVISTA,0.4361568394874864
2024-01-13-00,RoVISTA,0.461331
2024-01-14-00,RoVISTA,0.462712
2024-01-15-00,RoVISTA,0.453268
2024-01-16-00,RoVISTA,0.44323
2024-01-17-00,RoVISTA,0.448431
2024-01-18-00,RoVISTA,0.441314
2024-01-19-00,RoVISTA,0.439999
2024-01-20-00,RoVISTA,0.44148510695589505
2024-01-21-00,RoVISTA,0.44262274180577077
2024-01-22-00,RoVISTA,0.4412777712472082
2024-01-23-00,RoVISTA,0.43917
2024-01-24-00,RoVISTA,0.43947425524659783
2024-01-25-00,RoVISTA,0.4385514074761421
2024-01-26-00,RoVISTA,0.448717
